"","district","block","month","month_week","Total_inbound_calls","Total_unique_callers","Average_duration","paddy","okyourreplies","qna","annou","exp"
"1","BALANGIR","AGALPUR","Sep","Sep-Week 4",10,5,7357,4,1,6,2,1
"2","BALANGIR","AGALPUR","Oct","Oct-Week 1",1,1,278,1,0,1,0,0
"3","BALANGIR","AGALPUR","Oct","Oct-Week 2",1,1,188,1,0,1,0,0
"4","BALANGIR","AGALPUR","Oct","Oct-Week 3",3,3,88.3333333333333,0,0,1,0,0
"5","BALANGIR","BANGAMUNDA","May","May-Week 3",23,21,141.217391304348,6,2,5,3,2
"6","BALANGIR","BANGAMUNDA","May","May-Week 4",11,10,172,2,1,5,1,1
"7","BALANGIR","BANGAMUNDA","Jun","Jun-Week 1",15,11,66.0666666666667,1,0,2,1,0
"8","BALANGIR","BANGAMUNDA","Jun","Jun-Week 2",10,5,13.5,0,0,0,0,0
"9","BALANGIR","BANGAMUNDA","Jun","Jun-Week 4",20,17,255.3,2,1,6,1,1
"10","BALANGIR","BANGAMUNDA","Jul","Jul-Week 1",11,9,128.363636363636,1,0,5,1,0
"11","BALANGIR","BANGAMUNDA","Jul","Jul-Week 2",6,6,94.3333333333333,2,0,1,2,0
"12","BALANGIR","BANGAMUNDA","Jul","Jul-Week 3",5,5,203.2,1,0,2,0,0
"13","BALANGIR","BANGAMUNDA","Jul","Jul-Week 4",12,11,102.833333333333,1,1,3,1,1
"14","BALANGIR","BANGAMUNDA","Aug","Aug-Week 1",9,8,147.333333333333,4,0,3,1,0
"15","BALANGIR","BANGAMUNDA","Aug","Aug-Week 2",7,5,256.428571428571,6,0,6,1,0
"16","BALANGIR","BANGAMUNDA","Aug","Aug-Week 3",4,4,1143.25,1,0,1,0,0
"17","BALANGIR","BANGAMUNDA","Aug","Aug-Week 4",23,15,490.826086956522,5,0,13,1,0
"18","BALANGIR","BANGAMUNDA","Sep","Sep-Week 1",4,3,209.25,1,2,2,0,1
"19","BALANGIR","BANGAMUNDA","Sep","Sep-Week 2",6,4,82.8333333333333,0,0,2,0,0
"20","BALANGIR","BANGAMUNDA","Sep","Sep-Week 3",1,1,41,0,0,0,0,0
"21","BALANGIR","BANGAMUNDA","Sep","Sep-Week 4",19,14,157,2,0,8,0,0
"22","BALANGIR","BANGAMUNDA","Oct","Oct-Week 1",6,4,101.833333333333,0,1,2,0,1
"23","BALANGIR","BANGAMUNDA","Oct","Oct-Week 2",12,10,133.916666666667,6,2,6,0,0
"24","BALANGIR","BANGAMUNDA","Oct","Oct-Week 3",15,13,92.1333333333333,0,3,3,0,2
"25","BALANGIR","BELAPADA","May","May-Week 3",17,12,471.058823529412,9,3,12,6,1
"26","BALANGIR","BELAPADA","May","May-Week 4",20,12,288.1,3,8,3,2,8
"27","BALANGIR","BELAPADA","Jun","Jun-Week 1",16,10,386.75,5,0,9,0,0
"28","BALANGIR","BELAPADA","Jun","Jun-Week 2",12,11,221.5,3,0,3,2,0
"29","BALANGIR","BELAPADA","Jun","Jun-Week 3",3,3,231.333333333333,0,0,2,0,0
"30","BALANGIR","BELAPADA","Jun","Jun-Week 4",22,20,138.863636363636,8,0,8,4,0
"31","BALANGIR","BELAPADA","Jul","Jul-Week 1",15,12,343.2,6,2,6,2,2
"32","BALANGIR","BELAPADA","Jul","Jul-Week 2",12,8,164.75,0,2,1,2,0
"33","BALANGIR","BELAPADA","Jul","Jul-Week 3",16,13,404.5625,3,0,4,2,1
"34","BALANGIR","BELAPADA","Jul","Jul-Week 4",9,8,131.777777777778,2,0,1,2,0
"35","BALANGIR","BELAPADA","Aug","Aug-Week 1",10,10,137.8,3,0,4,3,0
"36","BALANGIR","BELAPADA","Aug","Aug-Week 2",13,12,160.230769230769,6,1,5,2,0
"37","BALANGIR","BELAPADA","Aug","Aug-Week 3",1,1,204,0,0,0,0,0
"38","BALANGIR","BELAPADA","Aug","Aug-Week 4",18,14,183.777777777778,4,2,8,2,0
"39","BALANGIR","BELAPADA","Sep","Sep-Week 1",6,5,22.8333333333333,1,0,1,0,0
"40","BALANGIR","BELAPADA","Sep","Sep-Week 2",11,10,113.454545454545,2,1,5,0,0
"41","BALANGIR","BELAPADA","Sep","Sep-Week 3",2,2,57.5,0,0,2,0,0
"42","BALANGIR","BELAPADA","Sep","Sep-Week 4",21,16,71.2380952380952,0,0,3,1,0
"43","BALANGIR","BELAPADA","Oct","Oct-Week 1",3,3,183.333333333333,0,0,1,0,0
"44","BALANGIR","BELAPADA","Oct","Oct-Week 2",27,20,137.185185185185,0,1,8,9,1
"45","BALANGIR","BELAPADA","Oct","Oct-Week 3",22,18,218.954545454545,6,2,14,4,0
"46","BALANGIR","BELAPADA","Oct","Oct-Week 4",1,1,65,0,0,1,0,0
"47","BALANGIR","BELPADA","Sep","Sep-Week 4",6,6,229.833333333333,2,0,3,2,0
"48","BALANGIR","BELPADA","Oct","Oct-Week 1",3,1,17.6666666666667,0,0,0,0,0
"49","BALANGIR","BELPADA","Oct","Oct-Week 3",6,5,56.1666666666667,2,0,0,3,0
"50","BALANGIR","BOLANGIR","May","May-Week 2",1,1,107,1,0,1,0,0
"51","BALANGIR","BOLANGIR","May","May-Week 3",199,167,524.979899497487,32,11,78,20,3
"52","BALANGIR","BOLANGIR","May","May-Week 4",181,137,140.729281767956,36,14,59,23,3
"53","BALANGIR","BOLANGIR","Jun","Jun-Week 1",113,91,182.238938053097,12,3,35,16,3
"54","BALANGIR","BOLANGIR","Jun","Jun-Week 2",64,53,1388.25,10,5,21,3,3
"55","BALANGIR","BOLANGIR","Jun","Jun-Week 3",48,41,133.4375,9,4,11,7,0
"56","BALANGIR","BOLANGIR","Jun","Jun-Week 4",157,129,188.15923566879,22,11,42,15,5
"57","BALANGIR","BOLANGIR","Jul","Jul-Week 1",79,63,364.73417721519,15,2,21,11,0
"58","BALANGIR","BOLANGIR","Jul","Jul-Week 2",80,64,178.5625,14,2,28,13,3
"59","BALANGIR","BOLANGIR","Jul","Jul-Week 3",65,60,135.230769230769,14,1,18,5,0
"60","BALANGIR","BOLANGIR","Jul","Jul-Week 4",117,106,241.393162393162,21,5,31,17,2
"61","BALANGIR","BOLANGIR","Aug","Aug-Week 1",90,74,138.444444444444,17,4,20,15,2
"62","BALANGIR","BOLANGIR","Aug","Aug-Week 2",82,67,175.731707317073,13,4,19,9,2
"63","BALANGIR","BOLANGIR","Aug","Aug-Week 3",53,50,121.962264150943,10,1,21,6,3
"64","BALANGIR","BOLANGIR","Aug","Aug-Week 4",123,99,178.430894308943,31,7,40,11,2
"65","BALANGIR","BOLANGIR","Sep","Sep-Week 1",56,42,196.607142857143,17,0,20,6,4
"66","BALANGIR","BOLANGIR","Sep","Sep-Week 2",71,55,240.366197183099,24,3,29,9,2
"67","BALANGIR","BOLANGIR","Sep","Sep-Week 3",32,28,173,7,1,14,2,0
"68","BALANGIR","BOLANGIR","Sep","Sep-Week 4",119,90,125.361344537815,27,4,34,5,3
"69","BALANGIR","BOLANGIR","Oct","Oct-Week 1",49,36,97.5102040816327,7,1,22,2,0
"70","BALANGIR","BOLANGIR","Oct","Oct-Week 2",146,117,618.36301369863,42,12,58,32,3
"71","BALANGIR","BOLANGIR","Oct","Oct-Week 3",172,142,154.843023255814,31,16,65,11,3
"72","BALANGIR","BOLANGIR_MPL","May","May-Week 3",3,3,78.3333333333333,1,0,2,0,0
"73","BALANGIR","BOLANGIR_MPL","May","May-Week 4",1,1,102,1,0,1,0,0
"74","BALANGIR","BOLANGIR_MPL","Jun","Jun-Week 1",1,1,38,0,0,0,0,0
"75","BALANGIR","BOLANGIR_MPL","Jun","Jun-Week 3",1,1,5,0,0,0,0,0
"76","BALANGIR","BOLANGIR_MPL","Jun","Jun-Week 4",2,2,68.5,0,0,0,0,0
"77","BALANGIR","BOLANGIR_MPL","Jul","Jul-Week 3",1,1,58,0,0,1,0,0
"78","BALANGIR","BOLANGIR_MPL","Jul","Jul-Week 4",1,1,100,0,1,0,0,0
"79","BALANGIR","BOLANGIR_MPL","Aug","Aug-Week 1",1,1,6,0,0,0,0,0
"80","BALANGIR","BOLANGIR_MPL","Aug","Aug-Week 4",3,3,65.3333333333333,1,0,0,1,0
"81","BALANGIR","BOLANGIR_MPL","Sep","Sep-Week 1",1,1,4,0,0,0,0,0
"82","BALANGIR","BOLANGIR_MPL","Sep","Sep-Week 2",1,1,33,0,0,0,0,0
"83","BALANGIR","BOLANGIR_MPL","Sep","Sep-Week 4",1,1,5,0,0,0,0,0
"84","BALANGIR","BOLANGIR_MPL","Oct","Oct-Week 2",4,4,145,1,1,0,2,1
"85","BALANGIR","BOLANGIR_MPL","Oct","Oct-Week 3",1,1,117,1,0,0,1,0
"86","BALANGIR","DEOGAM","May","May-Week 1",2,1,240.5,2,0,0,2,0
"87","BALANGIR","DEOGAM","May","May-Week 3",22,17,380.636363636364,8,2,14,4,2
"88","BALANGIR","DEOGAM","May","May-Week 4",15,13,198.4,3,1,6,0,0
"89","BALANGIR","DEOGAM","Jun","Jun-Week 1",11,9,61.6363636363636,2,0,2,2,0
"90","BALANGIR","DEOGAM","Jun","Jun-Week 2",14,7,143.285714285714,5,1,4,6,0
"91","BALANGIR","DEOGAM","Jun","Jun-Week 3",3,2,16.6666666666667,0,0,1,0,0
"92","BALANGIR","DEOGAM","Jun","Jun-Week 4",26,19,106.884615384615,5,1,6,1,3
"93","BALANGIR","DEOGAM","Jul","Jul-Week 1",12,8,301.416666666667,4,1,4,2,0
"94","BALANGIR","DEOGAM","Jul","Jul-Week 2",12,8,139.833333333333,6,0,5,2,0
"95","BALANGIR","DEOGAM","Jul","Jul-Week 3",8,7,74.25,2,2,2,1,0
"96","BALANGIR","DEOGAM","Jul","Jul-Week 4",10,10,255.4,2,0,2,1,1
"97","BALANGIR","DEOGAM","Aug","Aug-Week 1",28,10,193.071428571429,11,0,12,6,1
"98","BALANGIR","DEOGAM","Aug","Aug-Week 2",15,12,82.7333333333333,3,0,1,3,0
"99","BALANGIR","DEOGAM","Aug","Aug-Week 3",7,7,205.714285714286,1,1,2,0,0
"100","BALANGIR","DEOGAM","Aug","Aug-Week 4",14,13,187.571428571429,4,1,8,0,0
"101","BALANGIR","DEOGAM","Sep","Sep-Week 1",12,11,136.666666666667,3,0,2,2,0
"102","BALANGIR","DEOGAM","Sep","Sep-Week 2",11,9,109.545454545455,2,1,5,1,0
"103","BALANGIR","DEOGAM","Sep","Sep-Week 4",13,12,170,4,1,4,2,0
"104","BALANGIR","DEOGAM","Oct","Oct-Week 1",1,1,53,0,0,1,0,0
"105","BALANGIR","DEOGAM","Oct","Oct-Week 2",10,10,203,3,1,3,1,0
"106","BALANGIR","DEOGAM","Oct","Oct-Week 3",17,13,181.529411764706,8,0,6,6,1
"107","BALANGIR","GUDVELLA","Jul","Jul-Week 4",1,1,11,0,0,0,0,0
"108","BALANGIR","KHAPARAKHOL","Sep","Sep-Week 1",4,4,271,1,0,1,1,0
"109","BALANGIR","KHAPARAKHOL","Sep","Sep-Week 2",10,8,339.6,2,1,2,1,0
"110","BALANGIR","KHAPARAKHOL","Sep","Sep-Week 3",5,4,131.2,0,1,2,0,0
"111","BALANGIR","KHAPARAKHOL","Sep","Sep-Week 4",3,3,113.333333333333,0,1,1,0,0
"112","BALANGIR","KHAPARAKHOL","Oct","Oct-Week 1",3,1,28743.3333333333,3,0,4,0,0
"113","BALANGIR","KHAPARAKHOL","Oct","Oct-Week 3",2,2,135.5,1,0,1,0,0
"114","BALANGIR","KHAPARAKHOL","Oct","Oct-Week 4",1,1,233,1,0,0,1,0
"115","BALANGIR","KHAPRAKHOL","May","May-Week 3",14,14,160.428571428571,3,1,7,1,1
"116","BALANGIR","KHAPRAKHOL","May","May-Week 4",11,10,211.727272727273,5,1,3,2,1
"117","BALANGIR","KHAPRAKHOL","Jun","Jun-Week 1",7,7,325.571428571429,3,1,2,2,1
"118","BALANGIR","KHAPRAKHOL","Jun","Jun-Week 2",1,1,1059,1,0,1,0,0
"119","BALANGIR","KHAPRAKHOL","Jun","Jun-Week 3",2,2,34.5,0,0,0,1,0
"120","BALANGIR","KHAPRAKHOL","Jun","Jun-Week 4",19,13,649.368421052632,7,0,6,4,2
"121","BALANGIR","KHAPRAKHOL","Jul","Jul-Week 1",9,4,198.333333333333,3,2,2,4,0
"122","BALANGIR","KHAPRAKHOL","Jul","Jul-Week 2",5,4,19.4,0,0,0,1,0
"123","BALANGIR","KHAPRAKHOL","Jul","Jul-Week 3",6,5,32,1,0,1,0,1
"124","BALANGIR","KHAPRAKHOL","Jul","Jul-Week 4",4,4,22,0,0,0,0,0
"125","BALANGIR","KHAPRAKHOL","Aug","Aug-Week 1",6,6,113.666666666667,1,0,3,1,0
"126","BALANGIR","KHAPRAKHOL","Aug","Aug-Week 2",6,6,804.333333333333,3,0,3,0,0
"127","BALANGIR","KHAPRAKHOL","Aug","Aug-Week 3",8,6,339,6,1,6,1,0
"128","BALANGIR","KHAPRAKHOL","Aug","Aug-Week 4",10,10,238.5,2,2,1,2,1
"129","BALANGIR","KHAPRAKHOL","Sep","Sep-Week 1",4,4,190.75,1,1,1,1,0
"130","BALANGIR","KHAPRAKHOL","Sep","Sep-Week 2",10,8,88.6,2,0,2,1,0
"131","BALANGIR","KHAPRAKHOL","Sep","Sep-Week 3",1,1,9,0,0,0,0,0
"132","BALANGIR","KHAPRAKHOL","Sep","Sep-Week 4",16,14,203.5,5,1,7,2,0
"133","BALANGIR","KHAPRAKHOL","Oct","Oct-Week 1",4,4,63.25,0,0,1,0,0
"134","BALANGIR","KHAPRAKHOL","Oct","Oct-Week 2",11,7,196.363636363636,3,1,10,2,0
"135","BALANGIR","KHAPRAKHOL","Oct","Oct-Week 3",14,12,1074.57142857143,2,0,5,2,2
"136","BALANGIR","LUISINGA","May","May-Week 3",98,90,587.84693877551,13,5,14,13,2
"137","BALANGIR","LUISINGA","May","May-Week 4",165,136,153.109090909091,28,10,41,19,3
"138","BALANGIR","LUISINGA","Jun","Jun-Week 1",104,89,151.807692307692,20,8,24,13,1
"139","BALANGIR","LUISINGA","Jun","Jun-Week 2",35,26,193.6,8,4,9,6,1
"140","BALANGIR","LUISINGA","Jun","Jun-Week 3",91,70,170.626373626374,19,5,25,12,4
"141","BALANGIR","LUISINGA","Jun","Jun-Week 4",62,51,190.564516129032,12,3,23,8,3
"142","BALANGIR","LUISINGA","Jul","Jul-Week 1",92,68,207.239130434783,16,4,24,13,2
"143","BALANGIR","LUISINGA","Jul","Jul-Week 2",59,47,152.305084745763,14,6,15,8,0
"144","BALANGIR","LUISINGA","Jul","Jul-Week 3",57,49,109.333333333333,11,6,13,10,3
"145","BALANGIR","LUISINGA","Jul","Jul-Week 4",90,67,161.722222222222,25,2,24,16,4
"146","BALANGIR","LUISINGA","Aug","Aug-Week 1",60,48,272.883333333333,7,4,9,12,3
"147","BALANGIR","LUISINGA","Aug","Aug-Week 2",52,49,109.576923076923,10,4,12,6,1
"148","BALANGIR","LUISINGA","Aug","Aug-Week 3",55,52,169.690909090909,14,5,16,6,2
"149","BALANGIR","LUISINGA","Aug","Aug-Week 4",125,95,168.184,23,1,37,17,3
"150","BALANGIR","LUISINGA","Sep","Sep-Week 1",71,56,113.647887323944,8,3,25,4,1
"151","BALANGIR","LUISINGA","Sep","Sep-Week 2",52,47,90.6346153846154,5,6,12,7,1
"152","BALANGIR","LUISINGA","Sep","Sep-Week 3",37,36,125.675675675676,9,3,11,6,1
"153","BALANGIR","LUISINGA","Sep","Sep-Week 4",54,47,115.851851851852,9,2,14,5,1
"154","BALANGIR","LUISINGA","Oct","Oct-Week 1",39,35,125.307692307692,7,1,15,0,0
"155","BALANGIR","LUISINGA","Oct","Oct-Week 2",58,55,132.086206896552,20,5,22,14,1
"156","BALANGIR","LUISINGA","Oct","Oct-Week 3",103,90,202.116504854369,16,6,24,9,0
"157","BALANGIR","LUISINGA","Oct","Oct-Week 4",2,2,702.5,0,0,1,0,0
"158","BALANGIR","MURIBAHAL","May","May-Week 1",1,1,70,0,0,0,0,0
"159","BALANGIR","MURIBAHAL","May","May-Week 2",5,2,470.6,2,0,4,2,1
"160","BALANGIR","MURIBAHAL","May","May-Week 3",105,93,215.780952380952,32,14,43,15,5
"161","BALANGIR","MURIBAHAL","May","May-Week 4",65,49,249.030769230769,21,9,26,11,2
"162","BALANGIR","MURIBAHAL","Jun","Jun-Week 1",63,46,338.285714285714,23,9,27,14,2
"163","BALANGIR","MURIBAHAL","Jun","Jun-Week 2",51,38,261.588235294118,6,10,15,8,1
"164","BALANGIR","MURIBAHAL","Jun","Jun-Week 3",39,31,228.923076923077,9,3,20,5,1
"165","BALANGIR","MURIBAHAL","Jun","Jun-Week 4",137,84,327.583941605839,51,8,67,27,2
"166","BALANGIR","MURIBAHAL","Jul","Jul-Week 1",43,31,254.232558139535,8,3,19,10,1
"167","BALANGIR","MURIBAHAL","Jul","Jul-Week 2",49,32,280.326530612245,10,2,13,14,1
"168","BALANGIR","MURIBAHAL","Jul","Jul-Week 3",35,29,326.857142857143,10,4,8,7,0
"169","BALANGIR","MURIBAHAL","Jul","Jul-Week 4",67,52,217.597014925373,13,0,15,9,1
"170","BALANGIR","MURIBAHAL","Aug","Aug-Week 1",70,51,182.785714285714,8,9,28,11,4
"171","BALANGIR","MURIBAHAL","Aug","Aug-Week 2",41,38,92.4146341463415,7,3,8,9,1
"172","BALANGIR","MURIBAHAL","Aug","Aug-Week 3",35,27,235.742857142857,7,2,11,5,1
"173","BALANGIR","MURIBAHAL","Aug","Aug-Week 4",84,69,188.404761904762,17,7,26,13,0
"174","BALANGIR","MURIBAHAL","Sep","Sep-Week 1",44,35,106.931818181818,9,0,11,5,0
"175","BALANGIR","MURIBAHAL","Sep","Sep-Week 2",43,31,268.418604651163,6,1,19,4,3
"176","BALANGIR","MURIBAHAL","Sep","Sep-Week 3",20,17,575.65,7,0,6,6,1
"177","BALANGIR","MURIBAHAL","Sep","Sep-Week 4",88,57,732.988636363636,27,3,30,21,5
"178","BALANGIR","MURIBAHAL","Oct","Oct-Week 1",39,25,622.666666666667,14,0,18,12,0
"179","BALANGIR","MURIBAHAL","Oct","Oct-Week 2",57,42,176.017543859649,14,1,25,17,2
"180","BALANGIR","MURIBAHAL","Oct","Oct-Week 3",116,81,931.974137931035,22,9,38,21,7
"181","BALANGIR","MURIBAHAL","Oct","Oct-Week 4",6,3,141.166666666667,3,1,3,0,0
"182","BALANGIR","PATNAGARH","May","May-Week 3",99,89,143.20202020202,19,7,24,15,2
"183","BALANGIR","PATNAGARH","May","May-Week 4",159,140,177.547169811321,40,12,48,24,1
"184","BALANGIR","PATNAGARH","Jun","Jun-Week 1",84,74,100.035714285714,10,4,21,7,1
"185","BALANGIR","PATNAGARH","Jun","Jun-Week 2",55,48,143.254545454545,10,6,13,5,2
"186","BALANGIR","PATNAGARH","Jun","Jun-Week 3",76,57,148.065789473684,8,4,23,11,8
"187","BALANGIR","PATNAGARH","Jun","Jun-Week 4",90,72,194.933333333333,23,3,27,15,1
"188","BALANGIR","PATNAGARH","Jul","Jul-Week 1",65,55,186.430769230769,15,6,18,9,1
"189","BALANGIR","PATNAGARH","Jul","Jul-Week 2",63,54,221.460317460317,17,6,16,6,4
"190","BALANGIR","PATNAGARH","Jul","Jul-Week 3",59,46,181.440677966102,7,7,19,11,2
"191","BALANGIR","PATNAGARH","Jul","Jul-Week 4",80,65,164.925,12,5,25,8,5
"192","BALANGIR","PATNAGARH","Aug","Aug-Week 1",69,57,219.869565217391,16,8,17,18,2
"193","BALANGIR","PATNAGARH","Aug","Aug-Week 2",65,59,118.246153846154,11,4,18,11,1
"194","BALANGIR","PATNAGARH","Aug","Aug-Week 3",50,48,102.74,8,4,13,3,1
"195","BALANGIR","PATNAGARH","Aug","Aug-Week 4",89,77,123.775280898876,12,8,32,11,1
"196","BALANGIR","PATNAGARH","Sep","Sep-Week 1",58,53,112.086206896552,14,3,19,6,0
"197","BALANGIR","PATNAGARH","Sep","Sep-Week 2",58,51,121.224137931034,8,8,11,5,2
"198","BALANGIR","PATNAGARH","Sep","Sep-Week 3",41,38,264.341463414634,3,3,7,6,1
"199","BALANGIR","PATNAGARH","Sep","Sep-Week 4",108,88,228.805555555556,25,6,49,12,2
"200","BALANGIR","PATNAGARH","Oct","Oct-Week 1",82,64,206.865853658537,19,6,53,7,0
"201","BALANGIR","PATNAGARH","Oct","Oct-Week 2",73,67,134.479452054795,16,2,36,9,0
"202","BALANGIR","PATNAGARH","Oct","Oct-Week 3",88,77,164.909090909091,25,5,46,14,3
"203","BALANGIR","PATNAGARH","Oct","Oct-Week 4",10,8,170.1,4,1,5,2,0
"204","BALANGIR","PUINTALA","May","May-Week 3",94,79,117.36170212766,14,5,31,7,2
"205","BALANGIR","PUINTALA","May","May-Week 4",178,129,162.443820224719,26,9,47,10,0
"206","BALANGIR","PUINTALA","Jun","Jun-Week 1",88,66,177.261363636364,24,5,25,26,0
"207","BALANGIR","PUINTALA","Jun","Jun-Week 2",46,37,69.6304347826087,8,1,10,3,0
"208","BALANGIR","PUINTALA","Jun","Jun-Week 3",81,57,132.728395061728,18,5,35,8,1
"209","BALANGIR","PUINTALA","Jun","Jun-Week 4",59,49,191.745762711864,14,3,17,9,0
"210","BALANGIR","PUINTALA","Jul","Jul-Week 1",82,56,98.6219512195122,8,2,21,9,0
"211","BALANGIR","PUINTALA","Jul","Jul-Week 2",56,53,115.214285714286,7,4,8,8,2
"212","BALANGIR","PUINTALA","Jul","Jul-Week 3",43,37,84.6046511627907,4,1,10,3,2
"213","BALANGIR","PUINTALA","Jul","Jul-Week 4",70,60,63.5285714285714,6,5,14,3,0
"214","BALANGIR","PUINTALA","Aug","Aug-Week 1",65,50,147.538461538462,10,1,13,6,2
"215","BALANGIR","PUINTALA","Aug","Aug-Week 2",50,45,84.08,5,6,11,2,1
"216","BALANGIR","PUINTALA","Aug","Aug-Week 3",61,52,137.475409836066,11,3,17,6,0
"217","BALANGIR","PUINTALA","Aug","Aug-Week 4",95,69,150.105263157895,18,4,23,7,3
"218","BALANGIR","PUINTALA","Sep","Sep-Week 1",39,35,140.076923076923,9,2,13,4,0
"219","BALANGIR","PUINTALA","Sep","Sep-Week 2",54,44,277.407407407407,11,3,15,4,3
"220","BALANGIR","PUINTALA","Sep","Sep-Week 3",52,39,144.75,15,9,17,2,2
"221","BALANGIR","PUINTALA","Sep","Sep-Week 4",64,50,143.5625,15,7,20,4,0
"222","BALANGIR","PUINTALA","Oct","Oct-Week 1",36,31,100.75,4,1,16,1,0
"223","BALANGIR","PUINTALA","Oct","Oct-Week 2",11,8,110.181818181818,1,1,4,0,0
"224","BALANGIR","PUINTALA","Oct","Oct-Week 3",175,142,115.222857142857,41,10,59,25,5
"225","BALANGIR","PUINTALA","Oct","Oct-Week 4",10,9,87.2,4,1,4,2,0
"226","BALANGIR","SAINTALA","May","May-Week 3",79,68,95.6075949367089,13,3,28,8,2
"227","BALANGIR","SAINTALA","May","May-Week 4",111,84,705.774774774775,23,9,40,12,2
